clause,risk,source,policy_type,coverage_amount,applicant_age,prior_claims_count,deductible_amount,state
"The insurer may compensate the insured subject to verification of eligibility criteria. based on available documentation, depending on the circumstances at the time of the claim.",Medium,hedged_synthetic,home,297950,53,0,1000,IL
"the arbitrator will decide the substance of all claims in accordance with applicable law , including recognized principles of equity , and will honor all claims of privilege recognized by law .",Low,unfair_tos,auto,43361,48,0,5000,TX
"fictitious names of companies , products , people , characters , and/or data mentioned on this website are not intended to represent any real individual , company , product , or event .",Low,unfair_tos,auto,35849,22,1,5000,PA
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,auto,150000,61,2,500,TX
"for virtual items , your order will represent an offer to us to obtain a limited license for the relevant service ( s ) or virtual in-game item ( s ) which will be accepted by us when we make the virtual items available in your account for you to use in our games or debit the account through which you paid , whichever comes first .",Low,unfair_tos,home,165029,61,0,5000,FL
The insurer shall compensate the insured for covered losses provided all policy conditions are satisfied.,Low,original_synthetic,home,391446,63,0,2500,PA
"some jurisdictions do not allow the exclusion or limitation of certain damages , so some or all of the exclusions and limitations in this section may not apply to you .",Low,unfair_tos,home,286596,32,0,500,IL
"third party scripts , linked to , called or referenced from the software , are licensed to you by the third parties that own such code , not by skype .",Low,unfair_tos,auto,85187,39,0,2500,PA
"in order to sign up for a free trial , you may need to provide us with your preferred payment method .",Low,unfair_tos,home,396659,27,0,1000,IL
Claims will be reviewed and paid when they comply with the conditions specified in this policy.,Low,original_synthetic,commercial,3013453,20,0,2500,CA
the spotify service that does not require payment is currently referred to as the `` free service '' .,Low,unfair_tos,auto,75874,46,1,5000,TX
"The insurer may generally compensate valid claims unless exclusions apply under the contract, contingent on documentation review.",Medium,hedged_synthetic,auto,150000,39,0,2500,PA
The insurer will normally reimburse medical expenses that fall within the coverage limits. after internal evaluation.,Low,original_synthetic,auto,40321,29,0,5000,TX
"skyscanner may in its absolute discretion immediately terminate any agreement with you under these terms at any time upon notice to you and/or , if you have a log-in account , by cancelling your membership and your access to your account .",Medium,unfair_tos,commercial,2626948,39,0,2500,IL
"you are entirely liable for all activities conducted through the account , and are responsible for ensuring that any other person who uses your world of warcraft account is aware of the terms of and complies with this agreement .",Low,unfair_tos,life,425221,71,0,1000,FL
we do monitor our partner restaurants very closely and it is of utmost importance to us that they comply with our standards and help us to maintain our reputation .,Low,unfair_tos,home,367310,19,0,2500,FL
Claims may be settled according to the insurer's evaluation of the case. after internal evaluation.,High,original_synthetic,home,750000,31,0,5000,NY
we have taken every care in the preparation of our site and our service .,Low,unfair_tos,auto,81946,50,1,1000,IL
"it is fitbit 's policy , in appropriate circumstances and at our discretion , to disable or terminate the accounts of users who repeatedly infringe the rights of copyright holders .",Medium,unfair_tos,commercial,4287078,50,0,5000,TX
Compensation may be granted for eligible claims once documentation is verified under the policy terms. subject to policy limitations.,Low,original_synthetic,home,294563,31,0,500,CA
5.6 you agree that you are solely responsible for ( and that youtube has no responsibility to you or to any third party for ) any breach of your obligations under the terms and for the consequences ( including any loss or damage which youtube may suffer ) of any such breach .,Medium,unfair_tos,home,502790,33,1,500,GA
The insurer will compensate losses described in the policy when documentation confirms eligibility. depending on circumstances.,Low,original_synthetic,commercial,2341559,58,0,1000,GA
"Payment for losses may be issued after verification of the insured event and policy compliance. based on available documentation, subject to the insurer's assessment of the circumstances.",Medium,hedged_synthetic,commercial,905038,73,0,1000,NY
you can manage the messages you receive from other athletes in our services by changing the preferences in your account .,Low,unfair_tos,commercial,2133603,28,0,5000,NY
"by using the services , you agree that :",Low,unfair_tos,home,286831,53,0,2500,IL
"11.5 the applicable law and venue is in san francisco , california .",Medium,unfair_tos,auto,128398,54,2,2500,GA
our notice to you will be sent to you based on the most recent contact information that you provide us .,Low,unfair_tos,auto,41055,30,0,1000,FL
"we may offer catalogs including , for example , product images , descriptions and specifications that are provided by third parties ( including ebay users ) .",Low,unfair_tos,auto,67707,51,0,500,TX
Claims may be settled according to the insurer's evaluation of the case. if conditions are satisfied.,High,original_synthetic,life,1862723,67,0,500,CA
"supercell reserves the right to stop offering and/or supporting the service or a particular game or part of the service at any time , at which point your license to use the service or a part thereof will be automatically terminated .",Medium,unfair_tos,auto,97064,46,5,2500,OH
the nintendo account service is solely for your own personal recreational and non-commercial use .,Low,unfair_tos,home,179128,52,0,5000,FL
The insurer will compensate losses described in the policy when documentation confirms eligibility. if conditions are satisfied.,Low,original_synthetic,auto,78744,37,0,5000,IL
Benefits may be granted depending on circumstances and company judgment. if conditions are satisfied.,High,original_synthetic,home,197450,74,2,1000,NY
we provide you with tools to help you protect your intellectual property rights .,Low,unfair_tos,commercial,1573066,31,0,500,CA
The insurer may provide reimbursement depending on internal policy assessment.,High,original_synthetic,commercial,4861917,34,2,500,TX
you are responsible for maintaining the confidentially of your login details and any activities that occur under your account .,Low,unfair_tos,auto,79188,23,1,1000,IL
"the arbitrator may only award relief ( including monetary , injunctive , and declaratory relief ) in favor of the individual party seeking relief and only to the extent necessary to provide relief necessitated by that party 's individual claim ( s ) .",Low,unfair_tos,commercial,1434359,68,0,1000,TX
The insurer may compensate the insured depending on internal review and surrounding circumstances.,High,original_synthetic,auto,102690,73,5,2500,TX
"a statement that the notifying party has a good faith belief that the material is not authorized by the copyright owner , its agent or law .",Low,unfair_tos,auto,56660,20,0,500,CA
you should only provide content that you are comfortable sharing with others .,Low,unfair_tos,auto,31249,46,1,5000,CA
The insurer may compensate the insured depending on internal review and surrounding circumstances. after internal evaluation.,High,original_synthetic,commercial,5000000,55,1,5000,PA
"if you believe that any content made available on or through the services has been used or exploited in a manner that infringes an intellectual property right you own or control , then please promptly send a `` notification of claimed infringement '' containing the following information to the designated agent identified below .",Low,unfair_tos,commercial,1759217,56,1,5000,GA
nintendo neither becomes a party nor participates in any other way in any contract you may conclude with a third party through such third-party shopping services .,Low,unfair_tos,auto,59247,29,0,1000,OH
"• you fail to send your buyer a return shipping label and , instead , an ebay-generated shipping label is used ; and/or",Low,unfair_tos,home,190100,53,0,5000,IL
the arbitration will be conducted in english .,Low,unfair_tos,auto,46317,73,0,2500,TX
"you may use our services only as permitted by applicable law , including export control laws and regulations .",Low,unfair_tos,auto,40138,69,1,5000,GA
9.4 you agree to indemnify linden lab from claims relating to your use of the service .,Low,unfair_tos,commercial,930441,27,0,1000,FL
The insurer shall compensate the insured subject to verification of eligibility criteria. in accordance with policy terms.,Low,original_synthetic,auto,54616,57,1,2500,CA
"you irrevocably waive all rights to seek injunctive or other equitable relief , or to enjoin or restrain the operation of the service or any supercell game , exploitation of any advertising or other materials issued in connection therewith , or exploitation of the service or any content or other material used or displayed through the service and agree to limit your claims to claims for monetary damages , limited by section 7 ( if any ) .",Low,unfair_tos,auto,33294,45,3,500,GA
each offer is governed by individual terms and conditions .,Low,unfair_tos,home,193025,28,0,2500,NY
Coverage may apply in certain situations subject to evaluation by the insurer. based on available documentation.,High,original_synthetic,auto,150000,40,3,500,IL
Coverage may be extended depending on internal decisions made during claim assessment.,High,original_synthetic,commercial,3729212,66,1,5000,GA
the program is solely for your personal and noncommercial use .,Low,unfair_tos,home,259033,64,0,1000,PA
"9.2 guests can cancel a confirmed booking at any time subject to the listing 's cancellation policy , and airbnb payments will provide any refund to the guest in accordance with such cancellation policy .",Low,unfair_tos,life,830795,36,0,1000,CA
we both agree to waive our right to a jury trial .,Low,unfair_tos,home,663715,51,0,1000,FL
"you further acknowledge that by submitting user content , no confidential , fiduciary , contractually implied or other relationship is created between you and the company other than pursuant to this eula .",Low,unfair_tos,auto,56274,21,1,5000,OH
Coverage may apply in certain situations subject to evaluation by the insurer. based on available documentation.,High,original_synthetic,auto,150000,23,0,5000,GA
it supersedes any prior agreements between you and microsoft regarding your use of the services .,Low,unfair_tos,home,175658,54,2,500,NY
"The insurer may generally compensate valid claims unless exclusions apply under the contract, at the insurer's reasonable discretion.",Medium,hedged_synthetic,auto,131334,36,2,500,GA
"you may create your own google account , or your google account may be assigned to you by an administrator , such as your employer or educational institution .",Low,unfair_tos,home,203268,39,0,500,TX
"`` duolingo , '' `` tinycards '' and all other trademarks , service marks , graphics and logos used in connection with the service are trademarks or service marks of duolingo or their respective owners , and certain of them are registered with the united states patent and trademark office .",Low,unfair_tos,auto,69293,65,0,2500,PA
"by using the services you consent to the collection , use , and sharing of such personal data ( as set forth in the privacy policy , including the transfer of this personal data to the united states and/or other countries for storage , processing , and use by under armour .",Low,unfair_tos,commercial,3242529,28,0,1000,NY
"The insurer may normally reimburse medical expenses that fall within the coverage limits. in accordance with policy terms, subject to review by the insurer.",Medium,hedged_synthetic,auto,72104,40,3,2500,FL
"Benefits may be payable for covered incidents provided the claim meets all policy requirements. after internal evaluation, subject to applicable policy limitations and review.",Medium,hedged_synthetic,home,245679,64,0,5000,NY
The insurer shall compensate the insured for covered losses provided all policy conditions are satisfied. after internal evaluation.,Low,original_synthetic,commercial,1580719,47,1,2500,CA
Compensation may be granted for eligible claims once documentation is verified under the policy terms. subject to policy limitations.,Low,original_synthetic,home,230962,41,0,5000,NY
Claims may be approved or declined based on the insurer's interpretation of the situation. subject to review.,High,original_synthetic,commercial,3031222,60,0,500,CA
The insurer will compensate losses described in the policy when documentation confirms eligibility. if conditions are satisfied.,Low,original_synthetic,home,259831,68,0,2500,OH
special arbitration provision for the united states or canada users,Low,unfair_tos,life,1022023,48,0,2500,FL
"you may not sell or license any of the content from , or otherwise accessed through , the services without the express written consent of crowdtangle .",Low,unfair_tos,home,192635,30,0,2500,NY
"Payment for losses may be issued after verification of the insured event and policy compliance, if coverage criteria are met per internal guidelines.",Medium,hedged_synthetic,auto,121862,26,2,5000,OH
"we reserve the right to disallow , cancel , remove , or reassign certain usernames and permalinks in appropriate circumstances , as determined by us in our sole discretion , and may , with or without prior notice , suspend or terminate your account if activities occur on your account which , in our sole discretion , would or might constitute a violation of this eula , cause damage to or impair the service , infringe or violate any third party rights , or violate any applicable laws or regulations .",Medium,unfair_tos,commercial,4496210,46,0,5000,TX
children under thirteen ( 13 ) years of age are allowed to participate in contests .,Low,unfair_tos,auto,53440,33,1,5000,TX
"we will process your personal information , the traffic data and the content of your communication ( s ) in accordance with our privacy policy : http://www.skype.com/go/privacy .",Low,unfair_tos,auto,59929,24,1,1000,FL
"is not intended to be and should not be used in place of ( a ) the advice of your physician or other professionals , ( b ) a visit , call or consultation with your physician or other medical professionals , or ( c ) information contained on or in any product packaging or label .",Low,unfair_tos,life,633685,68,0,5000,CA
"if you choose to subscribe to any of our enhanced , paid services , these are the payment and billing terms that apply .",Low,unfair_tos,home,213622,24,0,5000,CA
"Covered damages may typically be reimbursed in accordance with the policy schedule, if conditions are deemed satisfactory by the insurer.",Medium,hedged_synthetic,home,565525,60,0,2500,TX
"the licensee expressly acknowledges and agrees that use of the service is at the licensee 's sole risk and that the entire risk as to satisfactory quality , performance , accuracy and effort is with the licensee .",Low,unfair_tos,commercial,1427225,52,0,1000,NY
The insurer shall compensate the insured for covered losses provided all policy conditions are satisfied. in accordance with policy terms.,Low,original_synthetic,home,281334,48,0,500,PA
"members agree to receive regular electronic newsletters , occasionally supplemented by other special offer mailings .",Low,unfair_tos,auto,39546,41,2,500,TX
The insurer shall compensate the insured subject to verification of eligibility criteria. if conditions are satisfied.,Low,original_synthetic,home,420871,28,0,500,TX
"you may use the attached model cancellation form , but it is not obligatory .",Low,unfair_tos,life,716947,70,0,2500,TX
"in connection with registering for and using the service , you agree ( i ) to provide accurate , current and complete information about you and/or your organization as requested by duolingo ; ( ii ) to maintain the confidentiality of your password and other information related to the security of your account ; ( iii ) to maintain and promptly update any registration information you provide to duolingo , to keep such information accurate , current and complete ; and ( iv ) to be fully responsible for all use of your account and for any actions that take place through your account .",Low,unfair_tos,commercial,1256943,57,0,5000,OH
we are not responsible for the accuracy of any third party 's privacy policy or for ensuring that third parties comply with their privacy policies .,Low,unfair_tos,home,496859,70,0,1000,TX
"please review any respective insurance policy carefully , and in particular make sure that you are familiar with and understand any exclusions to , and any deductibles that may apply for , such insurance policy , including , but not limited to , whether or not your insurance policy will cover the actions or inactions of guests ( and the individuals the guest has booked for , if applicable ) while staying at your accommodation or participating in your experience , event or other host service .",Low,unfair_tos,auto,38191,75,0,500,FL
"because facebook provides a wide range of services , we may ask you to review and accept supplemental terms that apply to your interaction with a specific app , product , or service .",Low,unfair_tos,commercial,2976313,36,1,500,IL
"if you have purchased your paid subscription through a third party , your subscription is also subject to the terms of your agreement with that third party ( in addition to these terms ) .",Low,unfair_tos,auto,57217,28,2,500,FL
"Benefits may be payable for covered incidents provided the claim meets all policy requirements, depending on availability of supporting evidence.",Medium,hedged_synthetic,home,750000,74,0,500,TX
"for the avoidance of doubt , user videos exclude any broadcast content .",Low,unfair_tos,home,242210,40,0,2500,TX
"this document describes in detail your rights and our rights relating to the provision of the service ( as defined below ) , so please review these terms carefully .",Low,unfair_tos,commercial,1685959,57,0,1000,PA
Payment may be provided based on discretionary review of the claim details. in accordance with policy terms.,High,original_synthetic,auto,124161,34,2,1000,GA
"in this case , we will provide you with reasonable advance notice .",Low,unfair_tos,auto,63635,24,1,500,TX
The insurer may provide reimbursement depending on internal policy assessment. subject to policy limitations.,High,original_synthetic,commercial,5000000,60,3,2500,FL
"if we discontinue a service , where reasonably possible , we will give you reasonable advance notice and a chance to get information out of that service .",Low,unfair_tos,auto,25000,73,2,1000,TX
"in addition , we have the right -- but not the obligation -- in our sole discretion to remove , disallow , block or delete any user content ( i ) that we consider to violate this eula , applicable law or otherwise constitute objectionable content ( defined in section 5 .",Medium,unfair_tos,auto,84920,45,0,500,OH
Covered damages will typically be reimbursed in accordance with the policy schedule.,Low,original_synthetic,auto,96469,50,1,2500,TX
we may bill you ( a ) in advance ; ( b ) at the time of purchase ; ( c ) shortly after purchase ; or ( d ) on a recurring basis for subscription services .,Low,unfair_tos,auto,28540,69,0,1000,OH
you can cancel the premium services at any time .,Low,unfair_tos,auto,35372,19,2,2500,PA
Coverage may apply in certain situations subject to evaluation by the insurer. in accordance with policy terms.,High,original_synthetic,home,604817,32,0,1000,PA
The insurer will normally reimburse medical expenses that fall within the coverage limits. after internal evaluation.,Low,original_synthetic,auto,51217,75,1,1000,IL
"you represent and warrant that for the duration of these terms , you have ( and will have ) all the rights necessary for your content that is uploaded , stored , or shared on or through the services and that the collection , use , and retention of your content will not violate any law or rights of others .",Low,unfair_tos,auto,107190,38,2,500,OH
Coverage may be extended depending on internal decisions made during claim assessment.,High,original_synthetic,life,1350790,39,0,5000,IL
The insurer shall compensate the insured subject to verification of eligibility criteria. subject to review.,Low,original_synthetic,commercial,1479313,37,0,1000,IL
( ii ) your failure to make additional arrangements to access emergency services in accordance with paragraph 5.5 above ;,Medium,unfair_tos,commercial,2939363,46,0,500,PA
The insurer shall generally compensate valid claims unless exclusions apply under the contract. subject to policy limitations.,Low,original_synthetic,home,294176,60,0,2500,PA
you will not be charged for any orders cancelled in accordance with this clause .,Low,unfair_tos,commercial,1923418,67,1,1000,NY
"if you are a resident of canada : notwithstanding anything to the contrary herein , with respect to any purchase using a visa credit card at under armour 's canada website , these terms shall be governed by and construed in accordance with canadian law , without regard to its conflict of law principles .",Medium,unfair_tos,auto,36137,41,0,1000,FL
"we reserve the right , but have no obligation , to monitor any accounts and/or activities conducted through or in any way related to the services ( including inviting a fellow athlete into a network of friends ) , as well as any athlete 's use of or access to location data ( as that term is defined in our privacy policy ) , personal data , and profiles of other athletes .",Low,unfair_tos,auto,117086,45,2,2500,OH
"in some cases , a third party , like your internet service provider , may have assigned a microsoft account to you .",Low,unfair_tos,home,221443,66,0,500,NY
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,auto,150000,62,2,5000,CA
"hosts alone are responsible for identifying , understanding , and complying with all laws , rules and regulations that apply to their listings and host services .",Low,unfair_tos,auto,41760,26,0,500,PA
"Payment for losses may be issued after verification of the insured event and policy compliance. if conditions are satisfied, subject to the insurer's assessment of the circumstances.",Medium,hedged_synthetic,home,435639,49,0,5000,FL
"subject to the foregoing , these terms of service shall ensure to the benefit of and be binding upon you and crowdtangle and their respective successors ( including any successor by reason of amalgamation ) and assigns .",Low,unfair_tos,home,416982,18,0,2500,FL
( 6 ) use bots or other automated techniques to collect information from world of warcraft or any forum or website owned or administered by blizzard entertainment ;,Low,unfair_tos,commercial,1891690,38,0,1000,TX
"where you sign up to any feature of , or use , the skyscanner services and/or skyscanner platforms that requires the use of a log-in account or password , you agree that you shall be responsible for keeping those password and log-in details confidential and secure .",Low,unfair_tos,auto,50959,49,0,1000,CA
"the tos constitutes the entire agreement between you and yahoo and governs your use of the yahoo services , superseding any prior version of this tos between you and yahoo with respect to the yahoo services .",Low,unfair_tos,home,254839,53,0,1000,OH
"any arbitration between you and spotify will be finally settled under the rules of arbitration of the international chamber of commerce ( the `` icc '' ) then in force ( the `` icc rules '' ) by one or more arbitrators appointed in accordance with the icc rules , as modified by these agreements , and will be administered by the international court of arbitration of the icc .",Low,unfair_tos,commercial,826278,54,0,5000,TX
"The insurer may generally compensate valid claims unless exclusions apply under the contract. based on available documentation, subject to the insurer's assessment of the circumstances.",Medium,hedged_synthetic,home,690135,57,0,500,NY
Claims will be reviewed and paid when they comply with the conditions specified in this policy.,Low,original_synthetic,auto,87272,50,0,2500,OH
"Payment for losses may be issued after verification of the insured event and policy compliance. if conditions are satisfied, subject to the insurer's assessment of the circumstances.",Medium,hedged_synthetic,auto,62289,32,0,1000,NY
the application of the united nations convention on contracts for the international sale of goods ( cisg ) is excluded .,Low,unfair_tos,commercial,1591032,69,0,2500,IL
( ii ) re-selling subscription minutes ;,Low,unfair_tos,auto,27869,44,0,500,NY
"7.3 listing experiences , events and other host services",Low,unfair_tos,home,220894,25,0,2500,CA
"• commercialize any ebay application or any information or software associated with such application , except with the prior express permission of ebay ;",Low,unfair_tos,auto,56698,21,0,1000,PA
"if , however , this waiver of class or consolidated actions is deemed invalid or unenforceable , neither you nor headspace are entitled to arbitration ; instead all claims and disputes will be resolved in a court as set forth in section 13.13 below .",Low,unfair_tos,home,243254,24,0,2500,PA
Claims may be settled according to the insurer's evaluation of the case. based on available documentation.,High,original_synthetic,life,1805164,28,0,1000,PA
the applicable service fees are due and payable and collected by airbnb payments pursuant to the payments terms .,Low,unfair_tos,life,890553,72,0,500,TX
we waive any right to seek an award of legal fees and expenses in connection with any non-frivolous arbitration between you and us .,Low,unfair_tos,home,407903,30,0,500,FL
"by accepting this agreement , you represent that you are at least eighteen ( 18 ) years of age ( or the legal age of majority in your jurisdiction , if greater ) and you have the legal authority to enter into this agreement .",Low,unfair_tos,commercial,1976149,29,0,1000,FL
"if you live in the european union : you agree that the laws of ireland , excluding conflict of laws rules , shall exclusively govern any dispute relating to this contract and/or the services .",Medium,unfair_tos,auto,60294,59,0,500,GA
Compensation may be granted for eligible claims once documentation is verified under the policy terms. depending on circumstances.,Low,original_synthetic,auto,57069,26,1,500,FL
